Soil Moisture,Humidity,Temperature,Light Intensity,Month,Status
66.79210036201559,63.02233242075815,24.13600004456895,879.2719142000915,6,High
67.02548352086353,62.31540530287301,20.53099395223816,940.1151119446976,6,High
66.76586384803082,64.93732336605757,23.18757043991733,875.3093451745447,5,High
67.95041944927213,73.73614080485393,23.00334158784999,947.2497458232681,5,High
74.2522207488646,66.40024721888639,23.715257092622394,879.7809560385308,7,High
68.17825422015076,66.95486079795994,21.490675400977484,898.2326981454029,7,High
71.88968266726901,72.74895747908786,22.33511541160661,887.1874282203587,5,High
74.1268124120004,72.72726683625719,21.15402233933334,823.6498168617564,5,High
68.71632502168686,61.57435235372126,21.314847342089795,839.9084649552793,6,High
70.0200933439138,60.52238487096612,24.347791385542692,872.9193510915636,5,High
70.42777128362772,65.22480836095954,24.213156433279117,857.8990391799016,7,High
69.62607583835481,69.56986521947564,22.212023551409153,863.0145008280043,5,High
65.15199876798377,61.071035726121856,23.36736665974118,835.0087092064442,6,High
65.29753887298229,68.1178257462139,22.827340726174388,840.844065560552,7,High
73.08606664635742,61.85953834611075,20.944387718277472,811.5583143774126,6,High
68.57787357638969,72.37401609190623,23.576472414641472,836.1106171529959,6,High
71.44188083033904,65.38482762553447,23.314593377860845,934.6783702938401,5,High
71.76705611883226,69.78000742077438,24.206302139511482,807.2883740570892,5,High
70.46521402182466,65.77983531714943,21.906511008116762,892.0802432602237,5,High
67.31416707862759,64.1709094463515,21.95280033653837,866.2430265348974,6,High
71.34688553036752,73.64054419401084,22.81220086611666,887.3119593011959,6,High
68.86017724575544,73.50303646359377,21.99198098604691,894.5448630691278,5,High
65.04556461308067,70.58366335952597,22.430064385718023,890.8102293638506,6,High
68.43179699692057,73.20360289227521,21.133765922602564,883.6255920098267,7,High
73.91497504641904,62.139101134912266,22.22348927705067,858.8768807897924,7,High
72.7477925203093,60.59748761864632,23.914317212818304,936.978282217161,5,High
68.96455685014746,67.49639683714189,23.923067478245727,820.1408305458457,5,High
69.42221121100418,63.16959039062776,21.787312686469626,939.4661020108606,5,High
74.85897324459339,61.18380494818445,20.056230891553184,857.2808073909292,5,High
66.1196186934974,73.45654617347382,23.524358704584976,886.5851753471925,5,High
70.64395063857185,63.83902082658712,22.036284661349402,890.9650667227501,5,High
73.70380900645725,68.12524361459211,22.045268829004428,928.3196701009894,5,High
65.11823314264572,65.78864252339632,21.58263688338408,805.8630654667228,5,High
70.6481379385325,62.136768671985756,23.854945023899603,886.9012824039313,6,High
66.22123030114955,70.86276173691193,22.403709577265946,949.803894071706,5,High
73.0547036182538,67.39916203925944,23.130103388927335,943.3076411669375,5,High
71.59797551572532,66.97629819751214,20.665955669572146,811.2267385322361,5,High
74.50185464888713,69.44604390580353,21.93833477639101,842.9836826005131,7,High
65.53949065867877,69.49839618147948,23.874785728936935,843.4440050070843,7,High
67.29170268812243,63.113154737452085,24.130298291555732,887.4777647772506,5,High
67.21715187847454,64.97967254112358,23.192686694203832,825.559083351153,6,High
74.29737260990088,73.14445731980442,23.990925580223355,838.5997312623446,7,High
71.12505565161474,73.08504418932662,22.942008905308274,874.1620363958472,5,High
65.88546869280052,60.48484413484057,20.06914988285137,821.2241234511536,5,High
73.44945908803295,66.37986284464363,24.99079091432547,906.271976754216,7,High
66.29441943090082,62.06180973299647,20.964092433691135,884.40084590919,6,High
74.40339632140483,61.12295061158023,23.049762426246573,850.3752778615586,6,High
67.65730102684506,63.189861909521795,24.572028142618322,842.1998023327917,6,High
69.12521881883558,68.74793000763647,23.561841523543894,868.1452210290704,5,High
65.39371787471154,60.66063964985097,20.935615500466092,931.9383611747269,7,High
72.09598258176271,73.98921609738532,24.413820726008375,945.6272911393048,5,High
69.24947594475312,68.8408154120025,20.156402589337304,920.0283702873452,6,High
71.48898743080576,73.90855014890467,20.673849718981,809.1665682895401,6,High
66.3399151778797,65.55198166765311,22.85013913704741,837.079206595475,7,High
73.70155803067388,64.47592471069225,23.728131849240015,918.5226835952146,6,High
68.95630674306668,66.81070685210878,24.160586084378018,910.4270668633147,5,High
65.24222448725244,65.10981534283094,20.530200755747625,845.0915444491925,7,High
68.02457756070622,68.06108687377964,23.68201369878086,848.1370154384422,5,High
65.53052030750054,66.85732525817531,24.246146827043482,816.1465576531864,5,High
74.76330175370057,71.06687312519328,23.947512066090425,912.0224373755457,6,High
67.05203855968983,68.831109571036,20.802069182127784,874.5345640591289,7,High
72.41802946647013,60.97923258682924,22.215148136606015,943.1591945806291,7,High
68.66392467475382,74.24295111251067,24.036878794816456,874.8222370145365,6,High
69.20631785952544,69.9695753344033,24.35958639816757,944.480488594291,5,High
